fragment,author_label,year,day,author_name
"for line in lines:
    l,r = line.split()
    l,r = int(l),int(r)
    LEFT.append(l)
    RIGHT.append(r)
    RC[r] += 1
p1 = 0
LEFT = sorted(LEFT)
RIGHT = sorted(RIGHT)
for l,r in zip(LEFT,RIGHT):
    p1 += abs(r-l)
print(p1)

p2 = 0
for l in LEFT:
    p2 += l * RC.get(l,0)
print(p2)",author_1,2024,1,jonathanpaulson
"def is_good(xs):
    inc_or_dec = (xs==sorted(xs) or xs==sorted(xs,reverse=True))
    ok = True
    for i in range(len(xs)-1):
        diff = abs(xs[i]-xs[i+1])
        if not 1<=diff<=3:
            ok = False
    return inc_or_dec and ok",author_1,2024,2,
"for i in range(len(D)):
    if D[i:].startswith('do()'):
        enabled = True
    if D[i:].startswith(""don't()""):
        enabled = False
    instr = re.match(r'mul\((\d{1,3}),(\d{1,3})\)', D[i:])
    if instr is not None:
        x,y = int(instr.group(1)), int(instr.group(2))
        p1 += x*y
        if enabled:
            p2 += x*y",author_1,2024,3,
"for r in range(R):
    for c in range(C):
        if c+3<C and G[r][c]=='X' and G[r][c+1]=='M' and G[r][c+2]=='A' and G[r][c+3]=='S':
            p1 += 1
        if r+3<R and G[r][c]=='X' and G[r+1][c]=='M' and G[r+2][c]=='A' and G[r+3][c]=='S':
            p1 += 1
        if r+3<R and c+3<C and G[r][c]=='X' and G[r+1][c+1]=='M' and G[r+2][c+2]=='A' and G[r+3][c+3]=='S':
            p1 += 1
        if c+3<C and G[r][c]=='S' and G[r][c+1]=='A' and G[r][c+2]=='M' and G[r][c+3]=='X':
            p1 += 1
        if r+3<R and G[r][c]=='S' and G[r+1][c]=='A' and G[r+2][c]=='M' and G[r+3][c]=='X':
            p1 += 1
        if r+3<R and c+3<C and G[r][c]=='S' and G[r+1][c+1]=='A' and G[r+2][c+2]=='M' and G[r+3][c+3]=='X':
            p1 += 1",author_1,2024,4,
"for line in edges.split('\n'):
    x,y = line.split('|')
    x,y = int(x), int(y)
    E[y].add(x)
    ER[x].add(y)

for query in queries.split('\n'):
    vs = [int(x) for x in query.split(',')]
    assert len(vs)%2==1
    ok = True
    for i,x in enumerate(vs):
        for j,y in enumerate(vs):
            if i<j and y in E[x]:
                ok = False",author_1,2024,5,
"for o_r in range(R):
    for o_c in range(C):
        r,c = sr,sc
        d = 0 # 0=up, 1=right, 2=down, 3=left
        SEEN = set()
        SEEN_RC = set()
        while True:
            if (r,c,d) in SEEN:
                p2 += 1
                break
            SEEN.add((r,c,d))
            SEEN_RC.add((r,c))
            dr,dc = [(-1,0),(0,1),(1,0),(0,-1)][d]
            rr = r+dr
            cc = c+dc
            if not (0<=rr<R and 0<=cc<C):
                if G[o_r][o_c]=='#':
                    p1 = len(SEEN_RC)
                break",author_1,2024,6,
"def is_valid(target, ns, p2):
    if len(ns) == 1:
        return ns[0]==target
    if is_valid(target, [ns[0]+ns[1]] + ns[2:], p2):
        return True
    if is_valid(target, [ns[0]*ns[1]] + ns[2:], p2):
        return True
    if p2 and is_valid(target, [int(str(ns[0])+str(ns[1]))] + ns[2:], p2):
        return True
    return False",author_1,2024,7,
"D = open(infile).read().strip()
G = D.split('\n')
R = len(G)
C = len(G[0])
P = defaultdict(list)
for r in range(R):
    for c in range(C):
        if G[r][c] != '.':
            P[G[r][c]].append((r,c))",author_1,2024,8,
"def solve(part2):
    A = deque([])
    SPACE = deque([])
    file_id = 0
    FINAL = []
    pos = 0
    for i,c in enumerate(D):
        if i%2==0:
            if part2:
                A.append((pos, int(c), file_id))
            for i in range(int(c)):
                FINAL.append(file_id)
                if not part2:
                    A.append((pos, 1, file_id))
                pos += 1
            file_id += 1
        else:
            SPACE.append((pos, int(c)))
            for i in range(int(c)):
                FINAL.append(None)
                pos += 1",author_1,2024,9,
"def ways1(sr,sc):
    """"""How many different 0s can I reach going down from here?""""""
    Q = deque([(sr,sc)])
    ans = 0
    SEEN = set()
    while Q:
        r,c = Q.popleft()
        if (r,c) in SEEN:
            continue
        SEEN.add((r,c))
        if G[r][c]==0:
            ans += 1
        for dr,dc in [(-1,0),(0,1),(1,0),(0,-1)]:
            rr = r+dr
            cc = c+dc
            if 0<=rr<R and 0<=cc<C and G[rr][cc] == G[r][c]-1:
                Q.append((rr,cc))
    return ans",author_1,2024,10,
